,MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,RainTomorrow
0,17.9,35.2,48.0,6.0,20.0,0
1,18.4,28.9,37.0,19.0,19.0,0
2,19.4,37.6,46.0,30.0,15.0,0
3,21.9,38.4,31.0,6.0,6.0,0
4,24.2,41.0,35.0,17.0,13.0,0
5,27.1,36.1,43.0,7.0,20.0,0
6,23.3,34.0,41.0,17.0,19.0,0
7,16.1,34.2,37.0,15.0,6.0,0
8,19.0,35.5,48.0,30.0,9.0,0
9,19.7,35.5,41.0,15.0,17.0,0
10,20.9,37.8,30.0,11.0,7.0,0
11,23.9,39.1,39.0,24.0,9.0,0
12,24.9,41.2,43.0,17.0,11.0,0
13,25.2,40.5,44.0,13.0,22.0,0
14,21.6,34.2,44.0,17.0,19.0,0
15,18.4,31.8,33.0,17.0,15.0,0
16,17.9,34.2,61.0,22.0,17.0,0
17,21.4,37.5,43.0,26.0,9.0,1
18,23.3,39.4,59.0,19.0,17.0,0
19,25.4,33.5,46.0,9.0,28.0,0
20,21.8,30.7,56.0,24.0,19.0,1
21,20.3,36.0,94.0,13.0,7.0,1
22,22.1,34.7,50.0,11.0,15.0,0
23,19.7,37.3,28.0,13.0,6.0,0
24,23.8,39.9,31.0,17.0,7.0,0
25,27.0,38.7,46.0,24.0,7.0,0
26,26.2,38.5,39.0,15.0,19.0,0
27,25.0,39.5,52.0,19.0,20.0,0
28,25.1,39.3,44.0,20.0,20.0,0
29,25.2,38.5,44.0,24.0,20.0,0
30,24.8,40.8,30.0,9.0,9.0,0
31,27.6,40.3,57.0,17.0,9.0,0
32,23.6,40.4,54.0,9.0,11.0,1
33,24.1,41.4,39.0,17.0,7.0,0
34,27.2,43.4,37.0,15.0,7.0,0
35,29.1,43.5,28.0,9.0,13.0,0
36,28.9,41.4,41.0,20.0,19.0,0
37,25.1,42.0,39.0,15.0,13.0,0
38,25.4,36.6,43.0,19.0,13.0,0
39,19.3,28.1,46.0,19.0,24.0,0
40,14.1,25.9,44.0,22.0,24.0,0
41,14.5,30.1,37.0,9.0,13.0,0
42,16.8,23.3,63.0,35.0,35.0,1
43,16.1,19.1,54.0,28.0,19.0,1
44,16.0,24.2,43.0,13.0,24.0,0
45,17.4,19.7,48.0,19.0,20.0,1
46,15.9,20.8,44.0,15.0,19.0,1
47,16.5,27.4,30.0,19.0,15.0,0
48,16.8,30.6,26.0,6.0,13.0,0
49,20.4,34.0,31.0,9.0,4.0,0
50,19.9,31.7,31.0,13.0,11.0,0
51,17.2,34.3,39.0,15.0,9.0,0
52,21.9,35.1,43.0,22.0,24.0,1
53,21.0,34.7,46.0,15.0,22.0,0
54,18.7,33.1,31.0,11.0,9.0,0
55,17.9,33.8,24.0,13.0,7.0,0
56,19.9,33.5,39.0,26.0,7.0,0
57,22.2,36.9,41.0,17.0,19.0,0
58,16.9,32.8,30.0,2.0,11.0,0
59,20.0,31.1,30.0,7.0,6.0,0
60,23.0,38.9,65.0,19.0,28.0,0
61,18.6,24.5,54.0,22.0,24.0,0
62,14.1,24.6,46.0,20.0,17.0,0
63,11.9,26.4,41.0,11.0,9.0,0
64,13.1,29.6,26.0,11.0,7.0,0
65,16.5,33.2,46.0,15.0,11.0,0
66,21.1,33.4,41.0,24.0,9.0,0
67,21.6,31.1,61.0,30.0,11.0,0
68,19.5,31.4,46.0,26.0,19.0,0
69,21.6,32.2,48.0,28.0,20.0,1
70,18.5,29.6,39.0,13.0,6.0,1
71,16.0,24.3,39.0,17.0,13.0,0
72,9.2,24.4,41.0,9.0,15.0,0
73,12.1,25.8,30.0,11.0,9.0,0
74,13.9,29.5,28.0,11.0,9.0,0
75,15.3,32.3,24.0,4.0,9.0,0
76,17.6,33.9,39.0,7.0,6.0,0
77,19.1,34.2,28.0,13.0,7.0,0
78,20.9,34.3,28.0,13.0,13.0,0
79,21.3,35.9,35.0,9.0,15.0,0
80,19.2,37.0,43.0,15.0,20.0,0
81,23.5,36.5,44.0,19.0,20.0,0
82,21.9,36.4,37.0,13.0,9.0,0
83,20.8,31.2,33.0,13.0,11.0,0
84,15.9,31.0,37.0,20.0,6.0,0
85,16.6,31.6,26.0,13.0,7.0,0
86,17.3,31.0,33.0,17.0,9.0,0
87,18.0,30.6,44.0,15.0,19.0,0
88,19.7,31.8,37.0,19.0,20.0,0
89,21.0,32.8,31.0,19.0,9.0,0
90,15.6,24.3,43.0,17.0,11.0,0
91,9.9,24.6,31.0,11.0,15.0,0
92,10.7,23.3,43.0,17.0,15.0,0
93,9.4,25.6,31.0,13.0,13.0,0
94,13.5,28.4,35.0,24.0,11.0,0
95,17.1,28.7,43.0,15.0,15.0,1
96,16.5,20.6,30.0,7.0,9.0,1
97,16.0,24.4,31.0,4.0,15.0,1
98,16.8,23.9,20.0,4.0,7.0,0
99,16.2,23.9,24.0,6.0,9.0,0
100,14.5,28.4,39.0,15.0,22.0,0
101,14.9,29.4,33.0,13.0,15.0,0
102,11.7,23.8,28.0,11.0,13.0,0
103,11.2,23.8,35.0,7.0,15.0,0
104,11.4,25.6,26.0,7.0,9.0,0
105,13.3,24.1,31.0,13.0,15.0,0
106,11.9,24.0,35.0,19.0,13.0,0
107,12.3,24.6,31.0,15.0,15.0,0
108,12.0,25.9,33.0,20.0,9.0,0
109,16.7,24.6,57.0,6.0,24.0,0
110,12.7,23.4,46.0,13.0,24.0,0
111,11.2,18.4,63.0,22.0,19.0,0
112,5.7,19.7,52.0,9.0,17.0,0
113,12.4,19.9,35.0,17.0,19.0,0
114,6.2,17.0,33.0,4.0,11.0,0
115,6.2,19.3,17.0,7.0,2.0,0
116,6.6,20.6,28.0,7.0,15.0,0
117,7.5,22.8,30.0,9.0,17.0,0
118,8.5,23.3,22.0,11.0,9.0,0
119,9.7,23.1,22.0,7.0,13.0,0
120,5.9,23.9,20.0,9.0,9.0,0
121,7.9,23.5,26.0,9.0,9.0,0
122,7.5,21.7,24.0,9.0,13.0,0
123,6.2,22.2,24.0,4.0,11.0,0
124,7.7,23.2,22.0,6.0,9.0,0
125,10.4,23.4,30.0,17.0,9.0,0
126,9.7,23.2,24.0,13.0,9.0,0
127,9.0,21.2,33.0,2.0,20.0,0
128,5.4,20.4,31.0,6.0,15.0,0
129,7.5,21.2,37.0,9.0,19.0,0
130,8.8,20.6,39.0,17.0,17.0,0
131,7.8,19.4,31.0,7.0,17.0,0
132,12.8,14.7,41.0,20.0,17.0,1
133,12.5,15.6,52.0,20.0,26.0,1
134,12.7,20.0,52.0,22.0,28.0,0
135,10.9,20.8,46.0,11.0,20.0,0
136,12.6,22.9,44.0,24.0,19.0,0
137,13.2,22.9,44.0,24.0,19.0,0
138,13.5,21.5,44.0,24.0,17.0,0
139,13.0,21.3,26.0,13.0,2.0,1
140,12.6,16.3,20.0,7.0,7.0,0
141,7.2,15.9,24.0,6.0,13.0,0
142,2.4,15.6,28.0,6.0,11.0,0
143,6.8,17.7,37.0,17.0,15.0,0
144,10.7,15.6,43.0,19.0,13.0,1
145,11.3,13.0,43.0,24.0,20.0,1
146,11.1,13.9,30.0,15.0,13.0,1
147,11.6,18.6,26.0,6.0,6.0,0
148,6.9,17.6,15.0,7.0,11.0,0
149,6.9,16.7,28.0,17.0,9.0,1
150,6.5,14.5,28.0,13.0,17.0,0
151,8.8,15.8,31.0,17.0,22.0,0
152,5.5,14.3,46.0,13.0,24.0,0
153,0.2,12.1,31.0,4.0,11.0,0
154,1.9,12.8,26.0,11.0,7.0,0
155,6.1,18.0,35.0,17.0,15.0,0
156,8.3,19.0,46.0,13.0,22.0,0
157,4.7,14.9,24.0,9.0,13.0,0
158,7.9,17.1,20.0,9.0,9.0,0
159,5.2,17.8,26.0,15.0,9.0,0
